owner_first_name,owner_family_name,owner_profession,tenant_name,building_functions,rent_price,parish,building_functions_count,longitude,latitude
valentin,artman,medico,zuanne bonetti,casa,74,san cancian,1,12.340156517557736,45.44182498583398
nicolo,foscarini,procurator,francesco borin,casa,35,san felice,1,12.334485361217467,45.44175761984373
piero,bianchi,mercante da legname,francesco grillo,casa,10,san felice,1,12.33374849502328,45.44170358480181
piero,bianchi,mercante da legname,zuanne alferà,casa,12,san felice,1,12.333777486051734,45.44170042175982
piero,dador,procurator,antonio marchiori,bottega,10,san felice,1,12.33335988098136,45.44160966024912
andrea,soranzo,procurator,carlo clementi,"bottega, casa",65,san felice,2,12.33301533200802,45.44159120435904
giovanni,pesaro,procurator,carlo forlico,"bottega, casa",50,san felice,2,12.333943588000585,45.44230906726518
giovanni,pesaro,procurator,carlo forlico,casa,36,san felice,1,12.33395939574712,45.44233890411007
pietro,getta,orefice,francesco marchesi,casa,80,san geremia,1,12.322372862321687,45.44192598199326
mondanina,bonaventura,fruttarola,isabetta tonei,casa,12,san geremia,1,12.317677970811614,45.44523313120225
mondarina,bonaventura,fruttarola,andrea maggiori,casa,12,san geremia,1,12.317766439016662,45.4448791691616
piero,foscarini,procurator,marc'antonio dondolo,casa,26,san lunardo,1,12.326629130057862,45.44332197065753
piero,foscarini,procurator,francesco frason,casa,8,san lunardo,1,12.326606362978628,45.4432793353383
piero,foscarini,procurator,gasparo [vitola],casa,14,san lunardo,1,12.326582903025429,45.443253061418936
piero,foscarini,procurator,batista mioni,casetta,10,san lunardo,1,12.326632308256814,45.44335066591668
zuanne battista,albrizzi,procurator,antonio dall'aqua,bottega,15,san marcilian,1,12.332607459124112,45.4443484265173
zuanne battista,albrizzi,procurator,gabriel piazza,bottega,16,san marcilian,1,12.332577739321492,45.444363855642855
zuanne battista,albrizzi,procurator,benetto gasparini,casa,20,san marcilian,1,12.332602495721147,45.444398713537375
zuanne battista,albrizzi,procurator,egidio nassivera,casa,34,san marcilian,1,12.332618153307386,45.44439563053948
zuanne battista,albrizzi,procurator,nicolò covina,casa,50,san marcilian,1,12.332655518804664,45.444445177535
carlo,alberegno,dottor,anzolo negri,casetta,8,san marcuola,1,12.328667968881838,45.445962045998925
carlo,alberegno,dottor,francesco franceschi,casetta,8,san marcuola,1,12.328695861249084,45.44595536053309
carlo,alberegno,dottor,costanza miles,casetta,8,san marcuola,1,12.328694667208312,45.44600914320574
giacomo,costanzi,dottor,maria campana,casetta,8,san marcuola,1,12.328732295692646,45.44600208709784
gerolamo,marcello,nodaro veneto,giacomo angeli,casetta,10,san marcuola,1,12.328118347323525,45.445254801968495
gerolamo,marcello,nodaro veneto,francesco pandian fabro,"bottega, casa",11,san marcuola,2,12.328125240120148,45.44519450886538
gerolamo,marcello,nodaro veneto,francesco rossi,casa,24,san marcuola,1,12.328056045767662,45.445163882374445
gerolamo,marcello,nodaro veneto,gaetano pini,casa,24,san marcuola,1,12.327963249288286,45.44515605730712
zuanne,basadonna,procurator,signor domenico antonio rotta,casa,110,santa fosca,1,12.332138839905875,45.44237696841755
francesco,dona,procurator,illustrissima signora contessa metilde canossa relita del illustrissimo signor conte valvason,casa,200,santa fosca,1,12.33268856759638,45.442709898687205
felino,sandei,procurator,meneghina angeli,casetta,8,santa sofia,1,12.335538876192286,45.44122185927464
felino,sandei,procuratore,antonio vencini,casetta,26,santa sofia,1,12.33567627852929,45.44132669145689
daniel,bragadin,procurator,giovanni battista talota,casa,36,santi apostoli,1,12.336798582180034,45.44169192771093
daniel,bragadin,procurator,giovanni battista confalonieri,casa,80,santi apostoli,1,12.336840594645524,45.44167897121585
pietro,foscarini,procurator,iseppo fabris,"bottega, casa",74,san biasio,2,12.349706505374668,45.432762533294365
pietro,foscarini,procurator,liberal sala,bottega,28,san biasio,1,12.349654119221968,45.43277651548251
pietro,foscarini,procurator,pietro biasini,casa,36,san biasio,1,12.349672384819437,45.43283998191863
pietro,foscarini,procurator,reverendo don antonio barghi,casa,36,san biasio,1,12.34980535249293,45.43289392579537
pietro,foscarini,procurator,stefano scomparin,"bottega, casa",34,san biasio,2,12.349753821511142,45.43276157817794
antonio,marini,procuratore,lorenzo cavallini,casa,11,san giovanni nuovo,1,12.341573019532596,45.435517644422255
antonio,loredan,procurator,zuanne del favro,casa,20,san giovanni in bragora,1,12.347614785956436,45.43389326305645
piero,foscarini,procurator,patron mattio de rafael,casa,24,san giovanni in bragora,1,12.34585641632984,45.434886802434754
giovanni battista,albrizzi,procurator,bortolo e giacomo zanchi,casa,150,san giovanni in bragora,1,12.34476463136986,45.43505902805485
daniel,bragadin,procuratore,andrea comel,bottega,26,san lio,1,12.339416430773875,45.437114555557066
francesco,fini,procurator,vittoria sottosora,casa,6,san martin,1,12.34977663530302,45.43401685634474
francesco,fini,procurator,andriana vlaminero,"appartamento, casa",6,san martin,2,12.349745301411772,45.43401944296356
francesco,fini,procurator,domenico piovesana,"appartamento, casa",7,san martin,2,12.349742481960318,45.43400845010652
francesco,fini,procurator,maria gernovich,"appartamento, casa",8,san martin,2,12.349737430465131,45.43399407367752
francesco,fini,procurator,domenico zugno,casa,18,san martin,1,12.349716146162214,45.43402472139284
francesco,fini,procurator,bastian rigoni,"appartamento, casa",10,san martin,2,12.349694797682568,45.43402900728809
francesco,fini,procurator,zuanne bianchi,"appartamento, casa",10,san martin,2,12.349686905432808,45.434016127153605
francesco,fini,procurator,iseppo lazari,casa,16,san martin,1,12.349659640493185,45.43403312777624
francesco,fini,procurator,viena buliana,casa,8,san martin,1,12.349569675658348,45.434042120633485
francesco,fini,procurator,zuanne zanchi,casa,16,san martin,1,12.349537626214008,45.43404820355649
francesco,fini,procurator,anzola zemella,"appartamento, casa",14,san martin,2,12.349500877741642,45.43405724145847
francesco,fini,procurator,cattarina magoni,"appartamento, casa",10,san martin,2,12.349491842818496,45.4340423236467
francesco,fini,procurator,zuanne de paoli,"appartamento, casa",8,san martin,2,12.349485969055062,45.43403006006269
francesco,fini,procurator,cattarina borzé,casa,16,san martin,1,12.349459270042214,45.43406715907484
francesco,fini,procurator,gaetano saltasbara,casa,14,san martin,1,12.349350696298886,45.43396273429572
francesco,fini,procurator,zuanne paneti,"appartamento, casa",16,san martin,2,12.349405738848256,45.43394813987939
francesco,fini,procurator,antonio de bernardo,"appartamento, casa",13,san martin,2,12.349412381521386,45.43395759885972
francesco,fini,procurator,domenico vergoumbello,"appartamento, casa",10,san martin,2,12.349418095072345,45.433967787187285
francesco,fini,procurator,antonia piti,casa,16,san martin,1,12.349443416386306,45.43393837265885
francesco,fini,procurator,margarita carara,casa,6,san martin,1,12.349463835725125,45.43393481615823
francesco,fini,procurator,carlo frate,"appartamento, casa",10,san martin,2,12.3495263111978,45.43391438689796
francesco,fini,procurator,santo vezzari,"appartamento, casa",8,san martin,2,12.349533007285595,45.43392453762497
francesco,fini,procurator,giacomo mori,"appartamento, casa",6,san martin,2,12.34958316082508,45.43389760963329
francesco,fini,procurator,francesco basegio,"appartamento, casa",6,san martin,2,12.349588642506736,45.433907384443344
francesco,fini,procurator,marietta tessona,"appartamento, casa",13,san martin,2,12.349636995581667,45.43388057280375
francesco,fini,procurator,andrea martinovich,casa,14,san martin,1,12.349680917209009,45.43386779816541
francesco,fini,procurator,maddalena romana,casa,6,san martin,1,12.34970798399184,45.4338612154556
francesco,fini,procurator,maria olimar,"appartamento, casa",9,san martin,2,12.349722729945425,45.433888940793686
francesco,fini,procurator,reverendo don antonio bufalino,"appartamento, casa",13,san martin,2,12.349704918798809,45.43389295054048
francesco,fini,procurator,zuanne mori,"appartamento, casa",10,san martin,2,12.349740182689192,45.43394152396864
francesco,fini,procurator,anzolo tessari,"appartamento, casa",8,san martin,2,12.349712586498734,45.43395145513077
andrea,contarini,procurator,capitan giacomo bolani,"appartamento, casa",28,san martin,2,12.349758966210606,45.43463123997466
andrea,contarini,procurator,zuanne gilli,"appartamento, casa",28,san martin,2,12.349762089757172,45.434649996159536
andrea,contarini,procurator,santo benvenuti,magazzeno,6,san martin,1,12.349774813450832,45.434666441788536
giovanni battista,molin,procurator,antonio ferigo,"appartamento, casa",30,san martin,2,12.349302987963595,45.43599899120106
giovanni battista,molin,procurator,francesco santini,"appartamento, casa",24,san martin,2,12.349259969507846,45.43602375283268
giovanni battista,molin,procurator,antonia relicta di pietro de santi,"appartamento, casa",12,san martin,2,12.349210152721271,45.43604999116232
giovanni battista,molin,procurator,mattio de giacomo ghezi,bottega,12,san martin,1,12.349321678326728,45.436039641149286
bortolamio,gradenigo,procurator,bortolo giacometi,"appartamento, casa",20,san martin,2,12.348542788785329,45.43578007214848
bortolamio,gradenigo,procurator,ogniben ferrari,"appartamento, casa",20,san martin,2,12.34857558703442,45.435791517532
alvise,gritti,procurator,giovanni battista muttoni,"bottega, casa",60,san martin,2,12.348486704578333,45.43488791220613
alvise,gritti,procurator,reverendo pre gerolamo vincenti,casa,60,san martin,1,12.348404259330104,45.43487388111437
alvise,gritti,procurator,antonia relicta di iseppo niccolini,casa,8,san martin,1,12.348257630611966,45.43481912841725
alvise,gritti,procurator,medea brespi,casa,5,san martin,1,12.348190993353256,45.4347896267177
alvise,gritti,procurator,andriana pamfilo,casa,7,san martin,1,12.34818988788976,45.43477530145299
alvise,gritti,procurator,giacomo buranello,casa,10,san martin,1,12.348214794726143,45.43475224480307
alvise,gritti,procurator,alvise de bortolo bao,casa,9,san martin,1,12.348211966669153,45.43474102471991
